日期,地表温度(K),近地面气温(K),地表净太阳辐射(J m**-2),晴空地表净太阳辐射(J m**-2),地表净热辐射(J m**-2),晴空地表净热辐射(J m**-2),气压(Pa),晴空地表水平辐射(J m**-2),大气层顶净太阳辐射(J m**-2),晴空大气层顶净太阳辐射(J m**-2),大气层顶净热辐射(J m**-2),总云量((0 - 1)),地表总直接太阳辐射(J m**-2),散射辐射的UV可见反照率((0 - 1)),湿度%,地面风速m/s,大气透过率,天空发射率,辐射制冷功率_W_per_m2
2025/7/1 14:00,307.4207764,308.4058838,2342976,2503296,-194438,-205058.125,100450.9688,3095168,3618432,3752960,-884386,1,2021504,0.077207729,58.53988677,5.14073061,0.250401355,0.749598645,55.64646253
2025/7/1 15:00,306.708313,308.1384888,2050880,2232640,-191424,-213466,100406.0938,2762048,3195520,3365632,-766919,0.990570068,1628864,0.077192031,59.98382377,4.649765769,0.251484307,0.748515693,63.85348277
2025/7/1 16:00,305.7285156,308.2179565,1492096,1793408,-182403,-198208,100365.1875,2222336,2491264,2793984,-820498,0.98059082,1140800,0.077161297,59.21141436,4.151982737,0.254697225,0.745302775,72.40650299
2025/7/1 17:00,304.8504639,304.9953003,1100992,1263552,-161374,-181966,100314.6875,1571008,1873792,2081792,-776944,0.98626709,797952,0.07713034,67.4302564,3.515510001,0.257632972,0.742367028,93.51990958
2025/7/1 18:00,303.6914673,305.3490906,618624,707392,-154546,-175632,100311.5938,886656,1147648,1292288,-776321,0.759063721,328704,0.077114865,64.55705784,3.426674387,0.297758783,0.702241217,117.3842289
2025/7/1 19:00,302.1257324,305.4589539,211904,221248,-141769,-162330,100357.9688,290112,454144,512768,-834917,0.948028564,83200,0.077083915,64.35321113,3.255105985,0.268162674,0.731837326,99.42222997
2025/7/1 20:00,301.4430542,305.3946838,6912,6592,-139495,-148455,100418.7813,8320,19584,21760,-911352,0.95300293,192,0.077053174,65.19076709,3.546207943,0.266148284,0.733851716,96.86773232
2025/7/1 21:00,301.1687012,304.1675415,3.60E-12,0,-143307,-140963,100501.375,0,0,0,-965736,0.937561035,0,0.07703793,70.5322079,3.395444167,0.267880611,0.732119389,101.8285706
2025/7/1 22:00,300.7474976,303.3701782,3.60E-12,0,-133973,-132889,100518.375,0,0,0,-942438,0.964416504,0,0.077022232,73.4695712,3.150768614,0.262583108,0.737416892,100.443495
2025/7/1 23:00,300.3059082,303.2983093,3.60E-12,0,-133093,-130806,100527.9375,0,0,0,-991141,0.946960449,0,0.076991498,74.47563274,3.141511992,0.265196761,0.734803239,99.3689203
2025/7/2 0:00,299.9219971,302.5679626,3.60E-12,0,-131423.1875,-127097,100507.0938,0,0,0,-1024797,0.933746338,0,0.076960549,78.33620205,2.833388868,0.266683585,0.733316415,101.1526873
2025/7/2 1:00,299.5691528,302.7199707,3.60E-12,0,-130174.25,-124394.125,100489.4375,0,0,0,-1032565,0.914764404,0,0.076929808,77.93266716,2.412042437,0.269984836,0.730015164,99.91162206
2025/7/2 2:00,299.0393066,302.5341187,3.60E-12,0,-129381.6875,-125666.375,100454.2813,0,0,0,-1023596,0.945953369,0,0.076914109,78.98687088,2.378664346,0.263570531,0.736429469,94.55979638
2025/7/2 3:00,298.7556152,301.4707336,3.60E-12,0,-146430,-138192,100467.6875,0,0,0,-853178,0.910797119,0,0.076883376,84.26408775,2.189659548,0.269672438,0.730327562,100.6263362
2025/7/2 4:00,298.5212402,301.4451599,3.60E-12,0,-146039,-142937,100459.875,0,0,0,-896745,0.962554932,0,0.076867685,85.00441441,1.983415761,0.258632078,0.741367922,94.18559056
2025/7/2 5:00,298.0296021,304.6988831,3.60E-12,0,-137293,-132103,100500.3438,0,0,0,-929519,0.926757813,0,0.076836951,71.72002849,1.668087196,0.265261438,0.734738562,79.29449418
2025/7/2 6:00,300.1575317,304.9441833,72832,67584,-132548,-120655,100492.375,92160,177920,187392,-938145,0.978820801,24768,0.076821476,72.00215726,2.212300761,0.252619727,0.747380273,83.90557342
2025/7/2 7:00,302.7784119,304.9946289,445696,449472,-155143,-135897,100602.9688,569920,865664,894976,-908080,0.948272705,282560,0.076790527,71.37372058,2.458111156,0.259823283,0.740176717,95.99823829
2025/7/2 8:00,304.7463989,304.9766541,972992,990336,-185931,-170517,100584.4063,1235456,1668992,1692288,-957449,0.895111084,787520,0.076759785,72.01559626,2.869923287,0.269120418,0.730879582,98.87885562
2025/7/2 9:00,306.5491943,307.8061523,1522240,1544832,-207788.6875,-194776.5,100625.5313,1917632,2428032,2450944,-1015610,0.819549561,1304512,0.076728828,61.39334026,3.273042242,0.28209385,0.71790615,89.07207387
2025/7/2 10:00,307.8467407,307.9602051,1997312,2032640,-221215.1875,-210852.4375,100620.9375,2517248,3060864,3098496,-1026089,0.518249512,1813696,0.076713353,61.5629945,3.528092029,0.308092738,0.691907262,95.81739601
2025/7/2 11:00,308.7989502,308.0838928,2416448,2404672,-226859.5625,-222669.125,100614.375,2974080,3597696,3581568,-1005048,0.462799072,2350528,0.076682404,61.8569801,3.723915747,0.309988973,0.690011027,87.51046949
2025/7/2 12:00,309.265686,309.4457703,2648512,2621440,-234996.25,-230728.8125,100586.375,3240448,3885568,3861760,-1036623,0.362670898,2607936,0.076666929,56.24806843,3.709854779,0.317543368,0.682456632,81.07577882
2025/7/2 13:00,309.3445129,309.5708618,2493184,2668736,-216208.4375,-232153,100505.4063,3298240,3744896,3919232,-976724,0.475341797,2209856,0.076635972,56.08721238,3.783847424,0.311393916,0.688606084,88.8754381
2025/7/2 14:00,308.1985168,309.3988037,2437696,2533952,-214216,-221286.625,100497.8125,3132480,3668352,3749120,-984940,0.574310303,2143232,0.076620497,56.79908646,4.054661114,0.305306673,0.694693327,80.86079973
2025/7/2 15:00,308.0522156,309.1949768,2197632,2221760,-202714,-196438,100430.1563,2748416,3359488,3364736,-989624,0.633850098,1999808,0.076589763,57.13176021,3.97082683,0.301586605,0.698413395,82.91582487
2025/7/2 16:00,307.2911682,309.1141357,1680960,1779200,-181399,-192435,100393.9375,2204992,2665472,2792064,-1012606,0.648284912,1465536,0.076552682,58.4014471,3.416146937,0.298672502,0.701327498,91.69955576
2025/7/2 17:00,306.426239,306.3212585,1157824,1256064,-160710,-175559,100350.7188,1561728,1965312,2080128,-1020107,0.517883301,942848,0.076537207,69.79095415,2.344297196,0.304196441,0.695803559,116.3666339
2025/7/2 18:00,305.5641479,306.210022,678784,700736,-148189,-162333,100258.9063,878464,1252096,1290240,-1009610,0.42779541,498368,0.076521516,69.92954835,1.629247837,0.30938813,0.69061187,126.3155202
2025/7/2 19:00,303.5147705,306.257019,226240,217984,-130109,-150739,100365.5,286016,501120,511104,-1029074,0.421600342,123712,0.076490782,69.71876047,2.03914703,0.309758778,0.690241222,123.8297587
2025/7/2 20:00,302.6880493,306.4138489,6528,6528,-111150,-128780,100321.2188,8192,20992,21504,-1013814,0.376037598,512,0.076459825,69.71279916,2.277027629,0.311300152,0.688699848,122.1995555
2025/7/2 21:00,302.2688599,305.5342712,3.60E-12,0,-127306,-123330,100398.6875,0,0,0,-1055658,0.448150635,0,0.07644435,73.27580709,2.347569761,0.307255095,0.692744905,121.5720795
2025/7/2 22:00,301.8380737,304.7237549,3.60E-12,0,-130103,-123039,100433.9063,0,0,0,-1056370,0.38885498,0,0.076413393,76.33027799,2.358366158,0.310535257,0.689464743,124.154897
2025/7/2 23:00,301.6005859,304.7935486,3.60E-12,0,-129600,-120991,100452.1563,0,0,0,-1050914,0.529693604,0,0.076382659,75.70041729,2.742621133,0.303495451,0.696504549,118.9509763
2025/7/3 0:00,301.6520996,303.947113,3.60E-12,0,-127003,-118371,100409.25,0,0,0,-1048919,0.666992188,0,0.076367185,78.65533331,2.82682151,0.29455155,0.70544845,118.7072444
2025/7/3 1:00,301.4960327,303.777832,3.60E-12,0,-123221.75,-115179.875,100360.5313,0,0,0,-1054558,0.589904785,0,0.076336235,79.59298228,2.628298774,0.300148123,0.699851877,121.2181732
2025/7/3 2:00,301.2636719,303.8669739,3.60E-12,0,-120406.375,-113286,100333.4063,0,0,0,-1054141,0.324920654,0,0.076320753,79.06138089,2.462247359,0.315005915,0.684994085,126.5903828
2025/7/3 3:00,300.7731323,302.6868286,3.60E-12,0,-122919.375,-111598.5625,100315.2813,0,0,0,-1039905,0.175018311,0,0.076289803,84.267748,2.342636272,0.325126727,0.674873273,133.5482076
2025/7/3 4:00,300.4210205,302.7220459,3.60E-12,0,-124474.625,-119191.75,100313.375,0,0,0,-1050487,0.005249023,0,0.07627432,84.23525501,2.323061013,0.343866168,0.656133832,140.1965263
2025/7/3 5:00,300.0074463,306.0663147,3.60E-12,0,-127675,-123745,100326.0625,0,0,0,-1049643,0.025695801,0,0.076243371,67.72263842,2.137189087,0.344679688,0.655320312,124.0765039
2025/7/3 6:00,300.9267578,306.1775513,73472,66624,-138943,-128730,100338.8125,90880,190464,183552,-1056857,0.022918701,32896,0.076212637,68.62619117,2.897899471,0.343262784,0.656737216,127.5254505
2025/7/3 7:00,303.3652954,306.0241394,462080,452224,-173304,-151077,100381.5,573312,899456,889472,-1060829,0.113250732,329728,0.07618168,68.97088201,3.169461447,0.332884667,0.667115333,129.7258118
2025/7/3 8:00,305.2728882,305.8189392,1003584,1000320,-203212.8125,-188336.1875,100413.0625,1247744,1687040,1687168,-1064280,0.351837158,862208,0.076166213,70.03996741,3.682691099,0.315201219,0.684798781,119.0031229
2025/7/3 9:00,306.6351013,308.6546326,1574848,1560384,-225720.1875,-212045.1875,100420.5938,1936704,2460672,2446080,-1070750,0.627532959,1464768,0.07615073,58.52251237,4.049014791,0.30245468,0.69754532,91.60347706
2025/7/3 10:00,307.7920532,308.5896912,2056512,2053440,-231982.25,-228822.5,100408.6563,2542656,3090432,3093376,-1062691,0.932434082,1978176,0.076113656,59.67382986,4.185014863,0.261957679,0.738042321,64.27687314
2025/7/3 11:00,308.2399292,308.7009277,2385408,2430272,-247263.375,-240639,100401.875,3005632,3533184,3575808,-1074871,0.925811768,2326400,0.076082915,60.04976998,4.094126752,0.261979241,0.738020759,56.9768074
2025/7/3 12:00,309.0726929,310.1015015,2674496,2651712,-252824.9375,-246316.125,100356.0313,3277760,3878784,3855872,-1082267,0.905914307,2657344,0.076067224,54.44875041,3.670282025,0.268411735,0.731588265,49.6558592
2025/7/3 13:00,309.5366821,310.1015015,2723520,2700736,-252664.3125,-250498.75,100266.7813,3337664,3937792,3913856,-1089778,0.314910889,2698432,0.07603649,54.88164215,3.100704386,0.319251609,0.680748391,78.22464458
2025/7/3 14:00,309.7063599,310.230011,2598272,2564800,-246548.3125,-245952.3125,100221.125,3170432,3779328,3745024,-1099293,0.387207031,2586176,0.076020792,54.97156009,2.677148349,0.31457661,0.68542339,79.4148385
2025/7/3 15:00,309.3822937,310.2279663,2280768,2258304,-233161,-234059.125,100170.4063,2792960,3383808,3362688,-1101044,0.708374023,2236800,0.075990066,54.29315906,2.389472035,0.294919776,0.705080224,76.66870542
2025/7/3 16:00,308.5625916,310.1118774,1778432,1812864,-201993,-216988,100113.25,2245760,2770560,2792576,-1094553,0.818023682,1650624,0.07597436,55.58613319,2.402235583,0.280267685,0.719732315,80.44720164
2025/7/3 17:00,307.4558105,306.6860962,1287104,1277056,-187488,-196296,100066.2188,1587392,2089984,2080640,-1100081,0.895355225,1149760,0.075943634,67.85803785,2.186284717,0.2658271,0.7341729,96.33163806
2025/7/3 18:00,305.9325562,306.8111572,725888,712960,-166697,-177124,100087.5,893632,1300864,1289984,-1098158,0.81640625,574080,0.075912893,64.90217354,2.388796841,0.282173726,0.717826274,110.1674497
2025/7/3 19:00,303.8337402,306.961792,232960,220544,-139202,-157483,100096.5,289472,518400,509184,-1097887,0.107666016,133760,0.075897202,64.7104011,2.559904344,0.334823147,0.665176853,134.9742185
2025/7/3 20:00,303.1280518,306.9141235,6784,6592,-126447,-126973,100147.5938,8256,20736,21248,-1079939,0.000701904,448,0.075866468,65.55956479,2.650907607,0.347043244,0.652956756,140.6492271
2025/7/3 21:00,302.6453857,305.3373413,3.60E-12,0,-131349,-127823,100192.1563,0,0,0,-1092778,0.019989014,0,0.07585077,73.28387611,2.788537121,0.341677722,0.658322278,141.7353231
2025/7/3 22:00,302.2722168,304.2076111,3.60E-12,0,-134356,-131191,100193.9063,0,0,0,-1093562,0,0,0.075820044,77.53354792,2.791154024,0.34489153,0.65510847,145.7763378
2025/7/3 23:00,301.8485718,304.2698059,3.60E-12,0,-136311,-130151,100156.8125,0,0,0,-1110187,0,0,0.075804338,77.65570431,2.636286661,0.344432014,0.655567986,142.6974985
2025/7/4 0:00,301.3984985,303.4724426,3.60E-12,0,-135022.625,-126790,100148.3438,0,0,0,-1111685,0.02243042,0,0.075773612,80.78929109,2.360982328,0.34156257,0.65843743,141.8989646
2025/7/4 1:00,300.9449463,303.4876404,3.60E-12,0,-133702.875,-125659,100103.1563,0,0,0,-1111911,0.301971436,0,0.075742647,80.99636931,2.072253732,0.315949405,0.684050595,126.7606975
2025/7/4 2:00,300.4088135,303.3743286,3.60E-12,0,-133040.5,-125636.625,100104.6563,0,0,0,-1109749,0.721374512,0,0.075711921,82.059073,1.95852702,0.288283835,0.711716165,110.7241874
2025/7/4 3:00,299.9919434,302.2542725,3.60E-12,0,-139233.5,-125044.5,100064.9375,0,0,0,-1096708,0.929534912,0,0.075696446,86.45834626,1.809860546,0.258916096,0.741083904,99.33920485
2025/7/4 4:00,299.6077881,301.9958496,3.60E-12,0,-136942,-131946.25,100100.8438,0,0,0,-1087667,0.868347168,0,0.075665489,87.12106812,2.109997012,0.270568718,0.729431282,103.7321307
2025/7/4 5:00,298.9615479,305.8299866,3.60E-12,0,-128744,-127110,100128.1875,0,0,0,-1069346,0.768585205,0,0.075643897,73.37065015,1.250217258,0.281066763,0.718933237,87.28210398
2025/7/4 6:00,300.8842773,306.5582581,72576,65920,-129724,-121561,100131.6563,89984,183296,178944,-1081536,0.199615479,31040,0.075612932,68.75523487,0.94814987,0.322816987,0.677183013,115.4497628
2025/7/4 7:00,303.9179688,306.497467,459072,452032,-179110,-150196.375,100214.6875,573376,885248,882048,-1086941,0.021179199,319552,0.075597465,69.17170624,0.677840462,0.341170983,0.658829017,135.5367625
2025/7/4 8:00,306.4283752,306.5430603,1013248,1005120,-224199,-199523.875,100205.4063,1253824,1686144,1680000,-1095637,0.1668396,869120,0.0755665,68.08722888,0.82714927,0.326498788,0.673501212,128.5878587
2025/7/4 9:00,308.2910156,309.6219788,1588928,1574528,-257398.25,-238663.875,100215.0625,1954368,2453376,2439040,-1111132,0.385955811,1485696,0.075535774,54.32841559,1.3629479,0.318836156,0.681163844,105.7357191
2025/7/4 10:00,309.4479675,309.6793213,2096448,2079872,-278737.375,-264969.75,100213.1563,2575680,3102336,3085696,-1116874,0.48324585,2032832,0.075520076,52.85159303,1.765918681,0.316253881,0.683746119,96.50552408
2025/7/4 11:00,310.1645203,309.5286865,2487104,2464320,-290911.1875,-281272.25,100174.8125,3048448,3589888,3566720,-1125179,0.747283936,2470016,0.075504601,53.70674461,2.069716938,0.295596966,0.704403034,79.03907656
2025/7/4 12:00,310.4101257,311.0059814,2715072,2689920,-292452.4375,-287226.5,100148.4375,3325760,3873152,3846784,-1123279,0.791412354,2719872,0.075473875,47.96426799,2.415032504,0.29416459,0.70583541,65.91995393
2025/7/4 13:00,310.4021912,310.785553,2764032,2732096,-286612,-284545.625,100072.6563,3377472,3936512,3905280,-1139326,0.812103271,2786624,0.07544291,49.27111622,2.776063477,0.28987901,0.71012099,62.80635811
2025/7/4 14:00,309.9336243,310.8809204,2632128,2593408,-272946,-274827,100041.8125,3206720,3775232,3737728,-1133270,0.868835449,2629568,0.075427435,49.82561623,3.242291672,0.279840753,0.720159247,58.28311919
2025/7/4 15:00,309.0401001,310.3350525,2303360,2289344,-252196,-258311,99986.28125,2832704,3371136,3355008,-1097744,0.948364258,2242048,0.075396478,51.21368579,3.391729821,0.265390709,0.734609291,58.23215283
2025/7/4 16:00,307.9702148,310.2818604,1859968,1847552,-234014,-241565,99920.28125,2289664,2797184,2786560,-1086949,0.931854248,1754368,0.075365752,52.39774163,3.065715109,0.266574766,0.733425234,65.68325317
2025/7/4 17:00,306.9971008,306.8512268,1316416,1309952,-221412,-227202,99895.8125,1628800,2079872,2076672,-1095909,0.904327393,1169920,0.075350054,63.55311163,2.724899708,0.270167816,0.729832184,94.20322151
2025/7/4 18:00,305.357605,306.8795471,744960,738368,-209796,-218808,99883.71875,925440,1291264,1287936,-1105591,0.860229492,595136,0.07531932,61.88161191,2.819472978,0.280220419,0.719779581,104.6294819
2025/7/4 19:00,303.2852783,307.0232849,243008,232128,-189803,-202803,99886.6875,304384,514944,507776,-1112305,0.920471191,142528,0.075303622,61.50550176,2.802885431,0.26966126,0.73033874,98.22057675
2025/7/4 20:00,302.494751,306.6515503,7104,6784,-178738,-180507,99901.40625,8640,20608,20992,-1107435,0.883483887,704,0.075272888,64.47216793,2.353017788,0.273416964,0.726583036,100.9393731
2025/7/4 21:00,301.7055054,304.85849,3.60E-12,0,-172894,-170679,99953.71875,0,0,0,-1067827,0.808135986,0,0.07524851,73.26705411,2.240622696,0.281475333,0.718524667,108.5154249
2025/7/4 22:00,300.8521729,304.2172852,3.60E-12,0,-158460,-160886,99972.25,0,0,0,-1078574,0.315917969,0,0.075232804,76.37209005,2.193918641,0.317056156,0.682943844,123.560568
2025/7/4 23:00,300.3460693,304.5814209,3.60E-12,0,-139363,-143796,99984.375,0,0,0,-1089502,0.592498779,0,0.075195953,74.71169129,2.124644432,0.301988105,0.698011895,111.5607048
2025/7/5 0:00,300.1393433,303.1705017,3.60E-12,0,-123282.4375,-127627.5625,99997.84375,0,0,0,-1072162,0.878356934,0,0.075164996,80.51742255,2.053452682,0.270477618,0.729522382,101.4906496
2025/7/5 1:00,299.9715576,303.1629028,3.60E-12,0,-112286.375,-115701.75,99997.875,0,0,0,-1079350,0.674468994,0,0.075149521,80.90258628,1.903101848,0.295322975,0.704677025,112.4185469
2025/7/5 2:00,299.8986816,303.1842957,3.60E-12,0,-105152.125,-107911.75,99966.8125,0,0,0,-1062470,0.765808105,0,0.075133823,80.96699481,1.791025362,0.285800915,0.714199085,107.3240338
2025/7/5 3:00,299.8728027,302.0635681,3.60E-12,0,-122728,-118087.125,99947.0625,0,0,0,-959832,0.922210693,0,0.075103089,86.75505019,1.775224307,0.261072304,0.738927696,100.5268536
2025/7/5 4:00,299.7739258,301.9827271,3.60E-12,0,-123507,-128034,99991.5,0,0,0,-958672,0.923950195,0,0.075072132,86.96182925,1.656055842,0.260952042,0.739047958,100.2510507
2025/7/5 5:00,299.4460449,305.8161621,3.60E-12,0,-119269,-125926,99992.15625,0,0,0,-926476,0.901519775,0,0.075056657,70.31850346,1.363013052,0.265805627,0.734194373,82.66218384
2025/7/5 6:00,301.1889038,306.074585,70208,64384,-129761,-128765,99971.09375,87616,169344,175872,-1015989,0.842773438,24256,0.075025931,69.52711718,1.605893852,0.275269602,0.724730398,95.95887661
2025/7/5 7:00,303.9431763,306.0863342,430080,449664,-176172,-156915,100021.875,570304,839936,877568,-1017913,0.387329102,261312,0.074994974,69.78229994,1.769498587,0.312315687,0.687684313,124.715271
2025/7/5 8:00,306.354187,306.2694397,867520,1005184,-217423,-204477,100054.9063,1253824,1499392,1675392,-986672,0.042541504,742656,0.074979499,68.02843142,2.183886745,0.34103921,0.65896079,140.083278
2025/7/5 9:00,308.0209351,309.2212219,1591616,1577664,-259369.9375,-236459.6875,100067.25,1957888,2448768,2434944,-1100486,0.010467529,1491008,0.074948534,56.11945361,2.54197987,0.348938005,0.651061995,121.2713406
2025/7/5 10:00,309.1270447,309.1293335,2084992,2078848,-273407.4375,-264464.875,100061.1563,2573760,3085568,3082752,-1100728,0,2014976,0.074933067,56.37487152,2.520905554,0.350455143,0.649544857,115.1272495
2025/7/5 11:00,310.0745544,309.2467957,2478400,2455488,-280705.6875,-272358.5625,100067.1875,3036160,3589632,3566720,-1118250,0,2465472,0.07490211,56.52443445,2.309383159,0.34964618,0.65035382,107.9325668
2025/7/5 12:00,310.6953125,310.552002,2706880,2673216,-283752,-278175.625,100046.875,3303104,3882624,3849600,-1123279,0.000701904,2722752,0.074871376,50.77682559,2.11178571,0.353270906,0.646729094,101.0934233
2025/7/5 13:00,310.8659973,310.7606812,2748032,2715840,-282420,-279925.5,99979.3125,3355136,3940352,3909632,-1122516,0.002105713,2759488,0.074855685,50.43898055,2.068503194,0.352700816,0.647299184,99.99258888
2025/7/5 14:00,310.433136,310.7268372,2622144,2581952,-273863,-276020,99922.375,3190400,3781632,3742208,-1121834,0.001403809,2637120,0.074824944,50.31925724,2.125211235,0.353181222,0.646818778,100.9103147
2025/7/5 15:00,309.801178,310.6349182,2196160,2265152,-228614,-252415,99875.59375,2801088,3288192,3359232,-1115075,0.003479004,2045376,0.074794218,50.16788209,2.041384876,0.353594763,0.646405237,113.7808636
2025/7/5 16:00,308.797821,310.6079712,1819968,1821760,-226006,-233695,99856.84375,2256704,2795648,2788992,-1120204,0.002807617,1738048,0.074778512,51.36149546,1.859823091,0.351643735,0.648356265,114.8072132
2025/7/5 17:00,307.7128906,307.0626526,1322880,1287232,-207537,-215379,99845.6875,1599680,2115456,2078464,-1119680,0.002807617,1200960,0.074763045,66.84308983,1.244877964,0.344195085,0.655804915,134.2657656
2025/7/5 18:00,306.7033081,306.4967651,742720,721536,-192190,-195647,99862.0625,903936,1312640,1288960,-1119837,0,601536,0.074725963,66.88721357,1.850980298,0.347323416,0.652676584,148.4057541
2025/7/5 19:00,304.0852051,306.0186157,240320,225408,-170901,-188782,99940.28125,295680,524160,508416,-1116787,0,145728,0.07469523,67.23786537,2.044453257,0.349186366,0.650813634,147.4509446
2025/7/5 20:00,302.4909058,306.0559387,6720,6528,-134049,-151958,99915.78125,8256,20992,20864,-1109819,0,640,0.074679539,66.75812649,2.115119692,0.349668461,0.650331539,141.6767411
2025/7/5 21:00,301.5758667,304.4819336,3.60E-12,0,-131452,-133371,99953.25,0,0,0,-1106385,0,0,0.074648798,73.89210614,2.076443211,0.348010937,0.651989063,141.8874832
2025/7/5 22:00,301.0693359,303.5684814,3.60E-12,0,-129728,-131959,100006.0625,0,0,0,-1101167,0,0,0.074633107,78.597885,2.075176051,0.346827807,0.653172193,142.0334201
2025/7/5 23:00,300.8016357,304.6415405,3.60E-12,0,-126394,-129530,99987.03125,0,0,0,-1094755,0,0,0.074602365,73.29636283,2.026627344,0.347969983,0.652030017,136.4986614
